Date,Product Revenue
8/28/17,12238.13
8/29/17,15037.42
8/30/17,15237.92
8/31/17,15968.08
9/1/17,18253.10
9/2/17,4519.44
9/3/17,5491.20
9/4/17,7966.64
9/5/17,11204.61
9/6/17,13892.14
9/7/17,15598.08
9/8/17,5747.30
9/9/17,8289.30
9/10/17,7307.95
9/11/17,15153.61
9/12/17,15485.76
9/13/17,25396.02
9/14/17,9371.30
9/15/17,14107.33
9/16/17,6324.00
9/17/17,5192.50
9/18/17,12767.94
9/19/17,11108.69
9/20/17,11016.85
9/21/17,10364.44
9/22/17,21475.24
9/23/17,9628.05
9/24/17,10265.82
9/25/17,20689.50
9/26/17,20257.98