Product,Product Revenue,Unique Purchases,Quantity
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,43955.00,225,295
Nest Cam Outdoor Security Camera - USA,42167.00,216,353
Nest Cam Indoor Security Camera - USA,37128.00,235,312
Nest Cam IQ - USA,31641.00,124,159
Nest Learning Thermostat 3rd Gen-USA - White,22152.00,125,148
Nest Secure Alarm System Starter Pack - USA (Preorder),20242.00,57,58
Nest Protect Smoke + CO White Wired Alarm-USA,17539.00,85,221
Nest Protect Smoke + CO White Battery Alarm-USA,15879.00,103,201
Nest Learning Thermostat 3rd Gen-USA - Copper,7152.00,45,48
Google Hard Cover Journal,6705.70,23,530